number,film,release_date,run_time,film_rating,rotten_tomatoes,metacritic,cinema_score,critics_choice,release_year
1,Toy Story,1995-11-22,81.0,G,100.0,95.0,A,,1995
2,A Bug's Life,1998-11-25,95.0,G,92.0,77.0,A,,1998
3,Toy Story 2,1999-11-24,92.0,G,100.0,88.0,A+,100.0,1999
4,"Monsters, Inc.",2001-11-02,92.0,G,96.0,79.0,A+,92.0,2001
5,Finding Nemo,2003-05-30,100.0,G,99.0,90.0,A+,97.0,2003
6,The Incredibles,2004-11-05,115.0,PG,97.0,90.0,A+,88.0,2004
7,Cars,2006-06-09,117.0,G,74.0,73.0,A,89.0,2006
8,Ratatouille,2007-06-29,111.0,G,96.0,96.0,A,91.0,2007
9,WALL-E,2008-06-27,98.0,G,95.0,95.0,A,90.0,2008
10,Up,2009-05-29,96.0,PG,98.0,88.0,A+,95.0,2009
11,Toy Story 3,2010-06-18,103.0,G,98.0,92.0,A,97.0,2010
12,Cars 2,2011-06-24,106.0,G,40.0,57.0,A-,67.0,2011
13,Brave,2012-06-22,93.0,PG,78.0,69.0,A,81.0,2012
14,Monsters University,2013-06-21,104.0,G,80.0,65.0,A,79.0,2013
15,Inside Out,2015-06-19,95.0,PG,98.0,94.0,A,93.0,2015
16,The Good Dinosaur,2015-11-25,93.0,PG,76.0,66.0,A,75.0,2015
17,Finding Dory,2016-06-17,97.0,PG,94.0,77.0,A,89.0,2016
18,Cars 3,2017-06-16,102.0,G,69.0,59.0,A,66.0,2017
19,Coco,2017-11-22,105.0,PG,97.0,81.0,A+,89.0,2017
20,Incredibles 2,2018-06-15,118.0,PG,93.0,80.0,A+,86.0,2018
21,Toy Story 4,2019-06-21,100.0,G,97.0,84.0,A,94.0,2019
22,Onward,2020-03-06,102.0,PG,88.0,61.0,A-,79.0,2020
23,Soul,2020-12-25,100.0,PG,96.0,83.0,,93.0,2020
24,Luca,2021-06-18,151.0,,,,,,2021
25,Turning Red,2022-03-11,,,,,,,2022
26,Lightyear,2022-06-17,,,,,,,2022
27,,2023-06-16,155.0,Not Rated,,,,,2023
